,s,o,h,l,c,v,t
346,ok,910.5,936.0,902.0,902.0,9209,1733961600
347,ok,902.0,902.0,875.1,880.0,17167,1734307200
348,ok,866.0,892.0,866.0,874.0,5442,1734393600
349,ok,890.0,906.0,869.0,872.0,15372,1734480000
350,ok,889.0,889.0,863.0,863.0,14929,1734566400
351,ok,858.3,880.0,851.0,859.9,9805,1734825600
352,ok,870.0,872.0,855.0,872.0,4800,1734912000
353,ok,872.0,888.9,870.0,876.9,9903,1734998400
354,ok,870.1,885.0,870.0,878.1,4930,1735171200
355,ok,879.0,892.0,865.0,865.0,8557,1735430400
356,ok,855.1,860.0,840.0,854.8,12261,1735603200
357,ok,854.0,871.5,850.0,866.0,1916,1735689600
358,ok,866.0,884.9,857.2,882.0,9777,1735776000
359,ok,867.0,887.7,867.0,875.1,7943,1736035200
360,ok,875.0,918.0,875.0,907.0,12123,1736121600
361,ok,901.0,917.9,897.0,901.0,12960,1736208000
362,ok,903.2,913.5,901.0,901.0,12186,1736294400
363,ok,897.1,936.3,897.1,901.0,20568,1736380800
364,ok,915.0,915.0,900.0,900.0,4797,1736640000
365,ok,885.0,908.0,870.0,890.0,13483,1736726400
366,ok,886.0,909.6,885.0,885.0,9120,1736899200
367,ok,890.2,897.6,875.0,897.6,9145,1736985600
368,ok,880.4,906.0,880.4,905.0,6716,1737244800
369,ok,905.0,923.0,888.0,912.0,9117,1737331200
370,ok,906.2,920.0,904.2,915.0,8371,1737417600
371,ok,918.0,935.0,912.5,929.5,30909,1737504000
372,ok,935.0,944.0,911.3,918.0,9134,1737590400
373,ok,921.1,929.0,912.1,913.0,14693,1737849600
374,ok,913.0,920.0,906.1,908.5,10160,1737936000
375,ok,908.1,914.0,900.0,905.0,17896,1738022400
376,ok,915.0,977.0,915.0,968.0,38787,1738454400
377,ok,987.0,987.3,948.0,949.0,18390,1738540800
378,ok,950.0,955.9,941.0,943.0,10031,1738627200
379,ok,941.1,946.0,925.0,927.0,9647,1738713600
380,ok,925.1,942.9,921.2,925.5,9714,1738800000
381,ok,925.6,940.0,920.3,921.0,8579,1739059200
382,ok,902.6,935.0,902.6,928.0,19067,1739145600
383,ok,930.0,945.0,930.0,940.0,9713,1739232000
384,ok,945.6,952.0,923.0,923.0,15166,1739318400
385,ok,915.0,930.0,910.0,911.0,16697,1739404800
386,ok,892.8,933.3,892.8,930.0,11431,1739664000
387,ok,920.0,950.0,920.0,938.9,18508,1739750400
388,ok,920.2,940.0,917.4,920.0,13836,1739836800
389,ok,920.0,927.0,910.1,912.0,9524,1740009600
390,ok,900.0,920.0,890.4,906.5,14811,1740268800
391,ok,901.0,924.0,901.0,905.0,13985,1740355200
392,ok,910.0,915.0,903.1,907.0,11945,1740441600
393,ok,925.1,925.1,908.0,918.9,10042,1740614400
394,ok,925.0,953.0,923.2,953.0,31412,1740873600
395,ok,950.0,961.0,925.0,926.0,19720,1740960000
396,ok,930.0,944.0,915.0,916.4,5748,1741046400
397,ok,933.9,933.9,900.0,900.3,11020,1741132800
398,ok,900.0,914.0,900.0,906.1,10551,1741219200
399,ok,906.2,906.2,889.0,895.3,14406,1741478400
400,ok,912.9,912.9,880.1,880.2,10862,1741564800
401,ok,887.0,894.9,863.0,869.0,12618,1741651200
402,ok,851.7,895.0,851.7,892.6,15942,1741737600
403,ok,895.0,900.0,871.0,885.0,13394,1742083200
404,ok,870.1,899.8,870.1,877.1,5847,1742169600
405,ok,886.0,888.0,875.2,875.2,4279,1742256000
406,ok,875.0,897.0,875.0,880.0,8516,1742342400
407,ok,875.0,881.0,870.4,873.32,4783,1742428800
408,ok,873.0,875.0,849.6,850.17,7050,1742688000
409,ok,849.0,862.9,834.1,856.9,4142,1742774400
410,ok,842.1,850.0,816.1,821.63,9341,1742860800
411,ok,821.0,845.0,821.0,839.09,3527,1742947200
412,ok,851.0,855.0,837.0,850.26,7538,1743033600
413,ok,850.0,885.0,850.0,874.57,6657,1743292800
414,ok,860.2,877.0,850.0,852.91,4773,1743465600
415,ok,852.91,868.7,845.1,860.0,2817,1743552000
416,ok,854.0,865.0,851.6,853.37,3929,1743638400
417,ok,845.2,856.4,833.0,837.26,5670,1743984000
418,ok,844.0,844.0,830.0,836.55,4625,1744070400
419,ok,820.0,853.9,820.0,842.26,4481,1744156800
420,ok,840.0,853.0,838.8,842.65,2775,1744243200
421,ok,826.5,842.9,826.5,840.72,3851,1744502400
422,ok,835.0,869.9,835.0,857.92,5842,1744675200
423,ok,845.0,863.0,845.0,853.97,3255,1744761600
424,ok,856.0,882.0,856.0,862.76,7628,1744848000
425,ok,863.0,876.0,853.0,853.0,3680,1745107200
426,ok,836.0,855.1,836.0,850.0,3535,1745193600
427,ok,845.0,887.0,840.0,870.68,8977,1745280000
428,ok,854.0,870.5,850.0,860.5,7840,1745366400
429,ok,875.0,875.0,840.0,843.17,9217,1745452800
430,ok,860.0,860.0,839.0,840.28,5731,1745712000
431,ok,830.2,862.6,830.2,849.47,6590,1745798400
432,ok,862.0,862.0,835.0,840.65,5207,1745884800
433,ok,838.7,847.0,824.0,836.68,6426,1745971200
434,ok,832.1,844.0,828.0,838.91,7919,1746316800
435,ok,840.0,846.0,826.0,838.59,2964,1746403200
436,ok,839.0,840.0,820.1,828.28,8679,1746489600
437,ok,823.1,858.0,820.0,847.5,7796,1746576000
438,ok,859.8,859.8,833.1,839.85,5133,1746662400
439,ok,825.0,882.3,825.0,871.33,20690,1746921600
440,ok,854.0,878.0,851.7,861.21,5452,1747094400
441,ok,852.1,864.8,846.0,850.6,1665,1747180800
442,ok,835.5,870.0,835.5,863.98,19458,1747267200
443,ok,847.0,886.0,847.0,874.86,33939,1747526400
444,ok,884.0,890.0,859.1,864.84,12637,1747612800
445,ok,847.6,894.9,847.6,891.67,27983,1747699200
446,ok,873.9,915.0,873.9,876.04,22251,1747785600
447,ok,876.0,889.6,860.0,862.44,9765,1747872000
448,ok,860.0,865.0,843.5,850.53,8917,1748131200
449,ok,861.0,868.0,835.0,839.75,9062,1748217600
450,ok,839.0,844.0,830.0,831.84,8741,1748304000
451,ok,831.8,847.9,825.3,831.21,6030,1748390400
452,ok,847.8,859.0,840.0,851.41,9264,1748822400
453,ok,844.0,851.0,831.0,833.73,5014,1748908800
454,ok,850.4,861.9,837.0,839.08,5977,1748995200
455,ok,849.0,855.8,825.1,827.98,9461,1749081600
456,ok,828.0,832.0,823.0,825.31,6961,1749340800
457,ok,818.2,839.9,818.2,837.48,4036,1749427200
458,ok,849.9,849.9,830.0,837.63,6867,1749513600
459,ok,829.0,844.9,820.9,824.83,8483,1749600000
460,ok,821.0,850.6,821.0,831.95,15003,1749686400
461,ok,821.0,846.0,821.0,836.27,6029,1749945600
462,ok,848.7,870.0,840.1,861.33,29634,1750032000
463,ok,877.9,878.2,846.2,852.45,8491,1750118400
464,ok,840.4,863.0,840.0,841.82,3899,1750204800
465,ok,826.0,849.9,825.0,831.51,13384,1750291200
466,ok,831.0,833.9,821.0,823.03,4154,1750550400
467,ok,817.2,829.9,816.0,824.79,5275,1750636800
468,ok,820.5,835.0,820.5,822.91,3529,1750723200
469,ok,821.3,835.0,821.1,828.94,3284,1750809600
470,ok,825.5,834.9,820.0,820.95,4855,1750896000
471,ok,826.0,829.8,819.0,821.7,3903,1751155200
472,ok,825.0,833.0,820.0,821.13,2028,1751241600
473,ok,821.2,829.8,819.0,823.15,7019,1751328000
474,ok,838.5,839.0,823.2,831.99,8038,1751414400
475,ok,845.0,845.0,826.4,829.74,4555,1751500800
476,ok,828.0,846.6,821.0,831.96,11194,1751760000
477,ok,830.0,844.0,830.0,830.53,5167,1751846400
